,windSpeed,humidity,temperature,Affluent_Achievers,Rising_Prosperity,Comfortable_Communities,Financially_Stretched,Urban_Adversity,Not_Private_Households,hour,day_of_week,month
2012-05-01 00:00:00,5.89,0.89,12.57,36.28900010000001,301.038,129.17200000000003,50.858,132.88500060000007,1.413,0,1,5
2012-05-01 01:00:00,6.17,0.93,12.54,29.229000000000003,281.0590000000002,123.7690001,47.158,145.6389998,1.1029999999999998,1,1,5
2012-05-01 02:00:00,6.27,0.92,12.47,27.7890001,245.7940007,99.35800030000001,43.96000000000001,114.3860001,1.062,2,1,5
2012-05-01 03:00:00,5.93,0.9,11.98,28.1569999,237.47400019999998,91.81100000000002,43.528999999999996,95.63800009999997,1.127,3,1,5
2012-05-01 04:00:00,5.2,0.95,11.57,27.798,234.22400009999996,96.42799999999995,49.227000000000004,82.14699999999998,1.165,4,1,5
2012-05-01 05:00:00,5.0,0.96,11.43,36.6370001,267.23799940000026,120.69999999999999,65.0329999,90.46199989999998,2.187,5,1,5
2012-05-01 06:00:00,4.23,0.96,11.28,55.68500019999999,382.49199979999986,170.44100010000002,96.4250002,125.58000029999997,1.662,6,1,5
2012-05-01 07:00:00,3.76,0.94,11.3,57.30499999999999,439.4449995000001,196.83500000000006,94.2569999,124.58900009999999,2.741,7,1,5
2012-05-01 08:00:00,3.73,0.94,11.36,58.15000009999999,428.7069993000001,180.86100030000011,90.22299999999998,108.08800000000001,2.233,8,1,5
2012-05-01 09:00:00,3.25,0.96,11.69,53.446000200000015,405.6349998000002,180.15499979999998,83.68499999999999,122.54500000000002,1.935,9,1,5
2012-05-01 10:00:00,2.7,0.95,12.32,47.29899999999999,381.74800060000024,171.998,82.159,114.53699999999998,1.499,10,1,5
2012-05-01 11:00:00,1.82,0.92,13.31,57.7080004,384.1240003000002,177.5250001,85.71899990000001,123.49599999999998,3.1279999999999997,11,1,5
2012-05-01 12:00:00,1.5,0.85,14.99,54.456,377.5629997999999,166.70800000000003,94.05199999999999,121.49600000000005,2.501,12,1,5
