,windSpeed,humidity,temperature,energy,hour,day_of_week,month
2012-05-01 00:00:00,5.89,0.89,12.57,651.6550007000001,0,1,5
2012-05-01 01:00:00,6.17,0.93,12.54,627.9569999000001,1,1,5
2012-05-01 02:00:00,6.27,0.92,12.47,532.3490012000001,2,1,5
2012-05-01 03:00:00,5.93,0.9,11.98,497.7360002,3,1,5
2012-05-01 04:00:00,5.2,0.95,11.57,490.9890000999999,4,1,5
2012-05-01 05:00:00,5.0,0.96,11.43,582.2569993000003,5,1,5
2012-05-01 06:00:00,4.23,0.96,11.28,832.2850005999999,6,1,5
2012-05-01 07:00:00,3.76,0.94,11.3,915.1719995000002,7,1,5
2012-05-01 08:00:00,3.73,0.94,11.36,868.2619997000002,8,1,5
2012-05-01 09:00:00,3.25,0.96,11.69,847.4009998000001,9,1,5
2012-05-01 10:00:00,2.7,0.95,12.32,799.2400006000003,10,1,5
2012-05-01 11:00:00,1.82,0.92,13.31,831.7000007000001,11,1,5
2012-05-01 12:00:00,1.5,0.85,14.99,816.7759998,12,1,5
2012-05-01 13:00:00,1.67,0.81,15.98,799.5700002000001,13,1,5
2012-05-01 14:00:00,2.61,0.74,15.84,771.0139998000004,14,1,5
2012-05-01 15:00:00,2.45,0.66,17.24,829.0760004999999,15,1,5
2012-05-01 16:00:00,2.74,0.64,17.22,947.8950002,16,1,5
2012-05-01 17:00:00,2.9,0.6,16.78,1039.0699996,17,1,5
2012-05-01 18:00:00,2.32,0.61,16.19,1118.0200003000002,18,1,5
2012-05-01 19:00:00,1.1,0.68,14.65,1176.4700001999997,19,1,5
2012-05-01 20:00:00,0.72,0.74,14.18,1270.8510006000004,20,1,5
2012-05-01 21:00:00,0.54,0.9,13.07,1200.1309993999996,21,1,5
2012-05-01 22:00:00,1.4,0.91,12.52,930.6339995999999,22,1,5
2012-04-02 23:00:00,1.24,0.67,9.51,431.0909999000002,23,0,4
2012-04-03 00:00:00,0.86,0.71,8.63,465.5850001000001,0,1,4
2012-04-03 01:00:00,1.22,0.73,8.06,463.38499910000024,1,1,4
2012-04-03 02:00:00,1.16,0.8,7.44,371.34799950000007,2,1,4
2012-04-03 03:00:00,1.26,0.81,6.81,319.93599969999997,3,1,4
2012-04-03 04:00:00,0.98,0.86,5.5,322.7719998,4,1,4
2012-04-03 05:00:00,0.8,0.86,5.04,383.91700010000005,5,1,4
2012-04-03 06:00:00,0.91,0.91,5.07,504.8600005999999,6,1,4
2012-04-03 07:00:00,1.22,0.84,6.79,553.8790002000001,7,1,4
2012-04-03 08:00:00,1.84,0.77,8.38,527.4270003,8,1,4
2012-04-03 09:00:00,2.13,0.71,10.02,526.6939998,9,1,4
2012-04-03 10:00:00,2.58,0.63,11.47,493.12700010000015,10,1,4
2012-04-03 11:00:00,2.46,0.57,12.59,487.50899999999984,11,1,4
2012-04-03 12:00:00,2.91,0.59,12.58,497.74900019999995,12,1,4
2012-04-03 13:00:00,3.24,0.57,12.71,504.1039997000001,13,1,4
2012-04-03 14:00:00,3.16,0.66,12.33,504.426,14,1,4
2012-04-03 15:00:00,3.22,0.58,12.92,519.459001,15,1,4
2012-04-03 16:00:00,3.22,0.57,12.72,590.329,16,1,4
2012-04-03 17:00:00,2.3,0.66,11.5,690.0250000999999,17,1,4
2012-04-03 18:00:00,2.0,0.72,9.93,830.8040002000004,18,1,4
2012-04-03 19:00:00,1.78,0.9,8.18,862.9830003,19,1,4
2012-04-03 20:00:00,1.35,0.94,8.08,850.4169997999998,20,1,4
2012-04-03 21:00:00,1.42,0.94,7.73,782.3250000000003,21,1,4
2012-04-03 22:00:00,1.62,0.93,7.87,620.5139999000002,22,1,4
2012-07-20 23:00:00,1.79,0.9,13.35,1527.5649996999996,23,4,7
2012-07-21 00:00:00,1.73,0.9,12.96,1279.2140002999997,0,5,7
2012-07-21 01:00:00,2.08,0.89,12.87,1104.5609998000004,1,5,7
2012-07-21 02:00:00,1.69,0.88,12.41,992.5510001999999,2,5,7
2012-07-21 03:00:00,1.28,0.89,12.31,928.1760000000006,3,5,7
2012-07-21 04:00:00,1.44,0.86,12.52,922.9239999000001,4,5,7
2012-07-21 05:00:00,1.14,0.9,11.83,1004.6430008000004,5,5,7
2012-07-21 06:00:00,1.78,0.87,12.55,1253.1590010000004,6,5,7
2012-07-21 07:00:00,2.43,0.82,13.4,1527.4649995000002,7,5,7
2012-07-21 08:00:00,2.38,0.73,14.93,1723.1919990999997,8,5,7
2012-07-21 09:00:00,2.32,0.64,15.99,1782.7780008000007,9,5,7
2012-07-21 10:00:00,2.13,0.61,17.02,1822.736,10,5,7
2012-07-21 11:00:00,1.57,0.55,18.32,1810.0670006,11,5,7
2012-07-21 12:00:00,0.57,0.54,18.1,1807.2350006000001,12,5,7
2012-07-21 13:00:00,0.85,0.53,18.35,1727.9769999999994,13,5,7
2012-07-21 14:00:00,0.89,0.49,18.83,1646.4040003000002,14,5,7
2012-07-21 15:00:00,1.09,0.45,19.89,1689.6599993999998,15,5,7
2012-07-21 16:00:00,0.41,0.49,19.11,1814.8320005999994,16,5,7
2012-07-21 17:00:00,0.34,0.5,19.17,1928.1899999999987,17,5,7
2012-07-21 18:00:00,0.96,0.58,18.26,2087.208001499999,18,5,7
2012-07-21 19:00:00,1.06,0.57,17.95,2102.5419988999997,19,5,7
2012-07-21 20:00:00,1.24,0.67,17.08,2143.3180001999995,20,5,7
2012-07-21 21:00:00,1.75,0.72,16.39,2142.3469996999993,21,5,7
2012-07-21 22:00:00,1.74,0.79,15.07,1871.529000399999,22,5,7
2012-08-23 23:00:00,1.96,0.77,16.04,1417.1999996999996,23,3,8
2012-08-24 00:00:00,1.81,0.8,15.53,1209.1219994000007,0,4,8
2012-08-24 01:00:00,1.91,0.82,15.17,1044.7530000000006,1,4,8
2012-08-24 02:00:00,2.06,0.82,15.07,953.0650000000004,2,4,8
2012-08-24 03:00:00,2.15,0.82,14.55,905.343999500001,3,4,8
2012-08-24 04:00:00,2.11,0.84,14.09,929.284,4,4,8
2012-08-24 05:00:00,2.0,0.84,14.07,1081.0449995999995,5,4,8
2012-08-24 06:00:00,2.07,0.84,14.15,1334.8250007,6,4,8
2012-08-24 07:00:00,2.17,0.8,15.29,1520.9529997,7,4,8
2012-08-24 08:00:00,2.42,0.78,16.5,1624.7569999,8,4,8
2012-08-24 09:00:00,3.04,0.7,17.54,1622.3360003,9,4,8
2012-08-24 10:00:00,3.33,0.62,18.66,1610.5089996,10,4,8
2012-08-24 11:00:00,3.18,0.61,19.25,1603.0959999000004,11,4,8
2012-08-24 12:00:00,3.47,0.57,19.51,1591.201999,12,4,8
2012-08-24 13:00:00,4.08,0.55,20.2,1562.6190007000002,13,4,8
2012-08-24 14:00:00,4.29,0.58,20.27,1535.3480001000007,14,4,8
2012-08-24 15:00:00,4.85,0.62,19.82,1585.1129998999993,15,4,8
2012-08-24 16:00:00,5.41,0.71,18.14,1823.3260000999994,16,4,8
2012-08-24 17:00:00,3.95,0.77,16.89,2017.1979996,17,4,8
2012-08-24 18:00:00,4.46,0.82,16.4,2188.2110012000003,18,4,8
2012-08-24 19:00:00,3.88,0.84,16.31,2272.1010014,19,4,8
2012-08-24 20:00:00,3.73,0.85,16.41,2269.936999899999,20,4,8
2012-08-24 21:00:00,3.55,0.9,15.98,2093.9059991999998,21,4,8
2012-08-24 22:00:00,3.49,0.92,16.48,1796.8979989999993,22,4,8
2012-05-06 23:00:00,0.68,0.85,6.37,847.1119996000003,23,6,5
2012-05-07 00:00:00,0.74,0.9,5.57,810.2920013000003,0,0,5
2012-05-07 01:00:00,0.86,0.92,5.2,781.4119997999999,1,0,5
2012-05-07 02:00:00,1.0,0.92,5.2,643.0620001000003,2,0,5
2012-05-07 03:00:00,1.01,0.92,5.21,574.7940001999998,3,0,5
2012-05-07 04:00:00,0.9,0.93,5.48,576.7689994000001,4,0,5
2012-05-07 05:00:00,1.54,0.9,5.51,629.1290003000001,5,0,5
2012-05-07 06:00:00,2.05,0.89,6.43,731.6240002000001,6,0,5
2012-05-07 07:00:00,2.65,0.82,7.97,867.6070003,7,0,5
2012-05-07 08:00:00,3.67,0.75,9.74,972.1820004000002,8,0,5
2012-05-07 09:00:00,3.94,0.7,10.37,1087.9950001999998,9,0,5
2012-05-07 10:00:00,4.08,0.71,10.64,1127.7770001000001,10,0,5
2012-05-07 11:00:00,4.17,0.71,11.38,1166.467001,11,0,5
2012-05-07 12:00:00,4.52,0.82,10.73,1222.6369994999998,12,0,5
2012-05-07 13:00:00,4.31,0.81,10.76,1199.6829988000004,13,0,5
2012-05-07 14:00:00,4.56,0.85,10.71,1155.6129995000003,14,0,5
2012-05-07 15:00:00,4.41,0.85,12.47,1159.6320001999995,15,0,5
2012-05-07 16:00:00,4.94,0.76,13.29,1225.9359992000002,16,0,5
2012-05-07 17:00:00,4.46,0.69,14.48,1344.5599995999999,17,0,5
2012-05-07 18:00:00,4.22,0.73,12.99,1392.6189991,18,0,5
2012-05-07 19:00:00,3.63,0.75,12.98,1398.9639998999999,19,0,5
2012-05-07 20:00:00,3.55,0.78,12.42,1485.0410001,20,0,5
2012-05-07 21:00:00,3.01,0.83,11.83,1376.9230001999997,21,0,5
2012-05-07 22:00:00,3.23,0.92,10.94,1077.0690002000001,22,0,5
